customerID;gender;SeniorCitizen;tenure;MonthlyCharges;TotalCharges;Contract;churn;;Max;114
7590-VHVEG;Female;0;1;29.85;29.85;Month-to-month;0;;Min;19
5575-GNVDE;Male;0;34;56.95;1889.5;One year;0;;avg;66,88785047
3668-QPYBK;Male;0;2;53.85;108.15;Month-to-month;1;;;
7795-CFOCW;Male;0;45;42.3;1840.75;One year;0;;;
9237-HQITU;Female;0;2;70.7;151.65;Month-to-month;1;;;
9305-CDSKC;Female;0;8;99.65;820.5;Month-to-month;1;;;
1452-KIOVK;Male;0;22;89.1;1949.4;Month-to-month;0;;;
6713-OKOMC;Female;0;10;29.75;301.9;Month-to-month;0;;;
7892-POOKP;Female;0;28;104.8;3046.05;Month-to-month;1;;;
6388-TABGU;Male;0;62;56.15;3487.95;One year;0;;;
9763-GRSKD;Male;0;13;49.95;587.45;Month-to-month;0;;;
7469-LKBCI;Male;0;16;18.95;326.8;Two year;0;;;
8091-TTVAX;Male;0;58;100.35;5681.1;One year;0;;;
0280-XJGEX;Male;0;49;103.7;5036.3;Month-to-month;1;;;
5129-JLPIS;Male;0;25;105.5;2686.05;Month-to-month;0;;;
3655-SNQYZ;Female;0;69;113.25;7895.15;Two year;0;;;
8191-XWSZG;Female;0;52;20.65;1022.95;One year;0;;;
9959-WOFKT;Male;0;71;106.7;7382.25;Two year;0;;;
4190-MFLUW;Female;0;10;55.2;528.35;Month-to-month;1;;;
4183-MYFRB;Female;0;21;90.05;1862.9;Month-to-month;0;;;
8779-QRDMV;Male;1;1;39.65;39.65;Month-to-month;1;;;
1680-VDCWW;Male;0;12;19.8;202.25;One year;0;;;
1066-JKSGK;Male;0;1;20.15;20.15;Month-to-month;1;;;
3638-WEABW;Female;0;58;59.9;3505.1;Two year;0;;;
6322-HRPFA;Male;0;49;59.6;2970.3;Month-to-month;0;;;
6865-JZNKO;Female;0;30;55.3;1530.6;Month-to-month;0;;;
6467-CHFZW;Male;0;47;99.35;4749.15;Month-to-month;1;;;
8665-UTDHZ;Male;0;1;30.2;30.2;Month-to-month;1;;;
5248-YGIJN;Male;0;72;90.25;6369.45;Two year;0;;;
8773-HHUOZ;Female;0;17;64.7;1093.1;Month-to-month;1;;;
3841-NFECX;Female;1;71;96.35;6766.95;Two year;0;;;
4929-XIHVW;Male;1;2;95.5;181.65;Month-to-month;0;;;
6827-IEAUQ;Female;0;27;66.15;1874.45;One year;0;;;
7310-EGVHZ;Male;0;1;20.2;20.2;Month-to-month;0;;;
3413-BMNZE;Male;1;1;45.25;45.25;Month-to-month;0;;;
6234-RAAPL;Female;0;72;99.9;7251.7;Two year;0;;;
6047-YHPVI;Male;0;5;69.7;316.9;Month-to-month;1;;;
6572-ADKRS;Female;0;46;74.8;3548.3;Month-to-month;0;;;
5380-WJKOV;Male;0;34;106.35;3549.25;Month-to-month;1;;;
8168-UQWWF;Female;0;11;97.85;1105.4;Month-to-month;1;;;
8865-TNMNX;Male;0;10;49.55;475.7;One year;0;;;
9489-DEDVP;Female;0;70;69.2;4872.35;Two year;0;;;
9867-JCZSP;Female;0;17;20.75;418.25;One year;0;;;
4671-VJLCL;Female;0;63;79.85;4861.45;Two year;0;;;
4080-IIARD;Female;0;13;76.2;981.45;Month-to-month;0;;;
3714-NTNFO;Female;0;49;84.5;3906.7;Month-to-month;0;;;
5948-UJZLF;Male;0;2;49.25;97;Month-to-month;0;;;
7760-OYPDY;Female;0;2;80.65;144.15;Month-to-month;1;;;
7639-LIAYI;Male;0;52;79.75;4217.8;Two year;0;;;
2954-PIBKO;Female;0;69;64.15;4254.1;Two year;0;;;
8012-SOUDQ;Female;1;43;90.25;3838.75;Month-to-month;0;;;
9420-LOJKX;Female;0;15;99.1;1426.4;Month-to-month;1;;;
6575-SUVOI;Female;1;25;69.5;1752.65;Month-to-month;0;;;
7495-OOKFY;Female;1;8;80.65;633.3;Month-to-month;1;;;
4667-QONEA;Female;1;60;74.85;4456.35;One year;0;;;
1658-BYGOY;Male;1;18;95.45;1752.55;Month-to-month;1;;;
8769-KKTPH;Female;0;63;99.65;6311.2;One year;0;;;
5067-XJQFU;Male;1;66;108.45;7076.35;One year;0;;;
3957-SQXML;Female;0;34;24.95;894.3;Two year;0;;;
5954-BDFSG;Female;0;72;107.5;7853.7;Two year;0;;;
